sourceId,orgName,location,type,email,phone,facebook,website,notes,enrichedAt,contactFound
d3bc9564ce55,Spokane Bike Swap and Expo,"Spokane, WA",bike,SpokaneBikeSwap@gmail.com,,https://www.facebook.com/spokanebikeswap/,https://www.spokanebikeswap.com/,A non-profit annual bike swap event in Spokane that provides affordable bicycles and raises funds for local charitable organizations.,2026-06-24T05:10:03.139Z,true
c8411bdfa2c2,ABC Bike Swap,"Anchorage, AK",bike,arcticbicycleclubboard@gmail.com,,https://www.facebook.com/ArcticBikeClub/,https://arcticbicycleclub.org,"Nonprofit organization promoting bicycling safety, education, and competition in Anchorage since the 1970s.",2026-06-24T05:10:13.215Z,true
d2dab1e03a1f,Bike Works Community Bike Shop,"Seattle, WA",bike,info@bikeworks.org,206-725-8867,https://www.facebook.com/BikeWorksSeattle/,https://bikeworks.org/,Seattle nonprofit promoting bicycles as vehicles for change to empower youth and build resilient communities.,2026-06-24T05:10:21.403Z,true
c64083f7daa6,Sharing Wheels Community Bike Shop,"Everett, WA",bike,info@sharingwheels.org,(425) 252-6952,https://www.facebook.com/sharingwheelsbikes/,https://sharingwheels.org/,"Sharing Wheels is a non-profit community bike shop in Everett that offers bike repairs, classes, and hosts an annual kids bike swap.",2026-06-24T05:10:29.164Z,true
c7ca3d8a771c,Sharing Wheels Kids' Bike Swap,"Everett, WA",bike,info@sharingwheels.org,(425) 252-6952,https://www.facebook.com/sharingwheelsbikes/,https://sharingwheels.org/,Sharing Wheels is a non-profit community bike shop in Everett that hosts an annual kids' bike swap event.,2026-06-24T05:10:36.865Z,true
9da2392a9af8,Sustainable NCW Bike CoOp,"Wenatchee, WA",bike,bike@sustainablencw.org,,https://www.facebook.com/sustainablencw/,https://www.sustainablencw.org,Sustainable NCW is a nonprofit promoting environmental stewardship and social sustainability in North Central Washington.,2026-06-24T05:10:45.066Z,true
378f6de547e0,Snoqualmie Pass Volunteer Ski Patrol Ski Swap,"Woodinville, WA",ski,recruiting@spvsp.org,,https://www.facebook.com/spvsp,https://www.summitwestskipatrol.org,The Snoqualmie Pass Volunteer Ski Patrol is a non-profit 501(c)(3) volunteer organization providing emergency care and rescue services at Summit West ski area.,2026-06-24T05:11:00.112Z,true
cbd5373cb015,Fairbanks Ski Patrol & Alpine Ski Club Ski Swap,"Fairbanks, AK",ski,Fairbanksskipatrol@gmail.com,(907) 590-4401,https://www.facebook.com/fairbanksskipatrol/,https://skilandfairbanks.com/fsp/,Fairbanks Ski Patrol is a volunteer nonprofit organization that provides safety services at Ski Land and hosts annual fundraising events including a ski swap.,2026-06-24T05:11:08.814Z,true
0e84d0f2cbe9,Alaska Alpine Club Winter Gear Swap,"Fairbanks, AK",other,alaska.alpine.club@gmail.com,,https://www.facebook.com/AAC.UAF/,https://www.alaskaalpineclub.com/,The Alaska Alpine Club was formed in 1952 to promote exploration and enjoyment of Alaska's mountain areas.,2026-06-24T05:11:15.775Z,true
571f7b9ded71,Grouse Mountain Ski Team Ski Swap,"Stevens Pass, WA",ski,info@gpst.org,(906) 282-6001,,https://www.gpst.org,"Granite Peak Ski Team is a nonprofit alpine ski racing club based in Wisconsin, not at Stevens Pass, WA or associated with Grouse Mountain.",2026-06-24T05:11:38.243Z,true
5bea2d5a2f33,West Valley High School Ski Swap,"Fairbanks, AK",ski,wolfpackskibooster@gmail.com,,https://www.facebook.com/wvski,,"Fundraiser supporting West Valley and Hutchison High School cross-country ski teams in Fairbanks, Alaska.",2026-06-24T05:11:54.368Z,true
bc1bf9c09ac4,Issaquah Ski Swap,"Issaquah, WA",ski,,425-654-4340,https://www.facebook.com/SuperiorSecondsGearExchange/,https://superiorseconds.myshopify.com,Superior Seconds is a locally owned sporting goods consignment store in Issaquah that organizes the annual Ski Swap event.,2026-06-24T05:12:05.936Z,true
ed2bbe96bbc4,Spokane Bike Swap,"Spokane, WA",bike,SpokaneBikeSwap@gmail.com,,https://www.facebook.com/spokanebikeswap/,https://www.spokanebikeswap.com/,The Spokane Bike Swap is a non-profit annual community event that provides affordable bicycles and supports the local biking community.,2026-06-24T05:12:14.252Z,true
a348f4fb7548,"West Seattle Ski, Snowboard, and Boat Swap","Seattle, WA",ski,info@m2soutfitters.com,(206) 935-7669,https://www.facebook.com/m2soutfitters/,https://www.m2soutfitters.com,"Mountain to Sound Outfitters is a locally owned West Seattle retail shop specializing in skiing, snowboarding, paddling, and camping gear.",2026-06-24T05:12:23.567Z,true
8445a3adeb14,Hazel Wolf K-8 Winter Clothing and Ski Swap,"Seattle, WA",ski,communications@hazelwolfk8.org,206-252-4610,https://www.facebook.com/HazelWolfK8PTSA/,https://hazelwolfk8.org,Hazel Wolf K-8 PTSA facilitates family involvement and enhances the learning experience for every child.,2026-06-24T05:12:32.471Z,true
026e0367f005,Just Between Friends Tacoma/Puyallup,"Puyallup, WA",gear,allisonstephens@jbfsale.com,253-778-6885,https://www.facebook.com/JBFTacoma/,https://tacoma.jbfsale.com/,Just Between Friends is a twice-yearly children's and maternity consignment sale event in the Tacoma/Puyallup area.,2026-06-24T05:12:40.474Z,true
fba48fa6a464,Just Between Friends Everett & Monroe,"Monroe, WA",gear,nataliefoster@jbfsale.com,425-241-9411,https://www.facebook.com/jbfeverett/,https://everett.jbfsale.com/,Just Between Friends is North America's leading children's and maternity consignment sale pop-up event.,2026-06-24T05:12:48.157Z,true
7d9fd0e8fc77,Seattle Families of Multiples Consignment Sale,"Seattle, WA",gear,info@seattlemultiples.org,,https://www.facebook.com/seattlemultiplessale/,https://www.seattlemultiples.org,"Seattle Families of Multiples is a nonprofit organization supporting parents of twins, triplets and multiples in the Greater Seattle area.",2026-06-24T05:12:56.132Z,true
e6e96497b3db,Hand Me Ups Consignment Sale,"Anchorage, AK",gear,info@handmeupsllc.com,(907) 631-4103,https://www.facebook.com/HandMeUpsLLC/,http://www.handmeupsllc.com/,Hand Me Ups LLC is an Alaskan-owned semi-annual children's and maternity consignment sale event in Anchorage.,2026-06-24T05:13:05.301Z,true
f60256781b07,AK Ski Swap,"Anchorage, AK",ski,akskiswap49@gmail.com,(907) 783-2166,https://www.facebook.com/akskiswap/,https://akskiswap.com,Annual fundraiser ski swap organized by UAA Ski Team and Alyeska Ski Club to support both programs.,2026-06-24T05:13:16.101Z,true
db719aca1365,West Seattle Ski & Snowboard Swap,"Seattle, WA",ski,info@m2soutfitters.com,(206) 935-7669,https://www.facebook.com/m2soutfitters/,https://www.m2soutfitters.com,"West Seattle outdoor gear shop specializing in kayaks, SUPs, skis, snowboards, and gear since 2009.",2026-06-24T05:13:27.323Z,true
533e5a14642c,Newport High School PTSA Ski Swap,"Bellevue, WA",ski,[email protected],425-233-7520,https://www.facebook.com/NewportPTSA/,https://www.newportptsa.org,"Newport High School PTSA is a 501(c)(3) supporting educational programs at Newport High School in Bellevue, WA.",2026-06-24T05:13:36.173Z,true
88e42819eb28,Backcountry Only Ski Swap Seattle,"Seattle, WA",ski,info@wonderlandgearexchange.com,(206) 582-1987,https://www.facebook.com/wonderlandgearexchange/,wonderlandgearexchange.com,Wonderland Gear Exchange is a consignment outdoor gear store in Seattle focused on sustainability and community.,2026-06-24T05:13:44.307Z,true
92493fb2c5b5,Seattle Bike Swap,"Seattle, WA",bike,info@cascade.org,(206) 522-3222,https://www.facebook.com/CascadeBicycleClub/,https://cascade.org,Cascade Bicycle Club is the nation's largest statewide bicycle nonprofit serving riders throughout Washington.,2026-06-24T05:13:52.342Z,true
1fdea1de5d31,HART Annual BBQ & Ski Swap,"Anchorage, AK",ski,teamhartalaska@gmail.com,907-519-9361,https://www.facebook.com/skiracingak/,https://www.hartalaska.com,HART is a volunteer-run nonprofit organization dedicated to enriching lives of youth through ski racing.,2026-06-24T05:14:01.173Z,true
8a743c7cb145,Washington State Snowmobile Expo & Swap Meet,"Puyallup, WA",other,Snoflyer@wssa.us,800-783-9772,https://www.facebook.com/WSSAUS/,https://www.wssa.us,WSSA is a nonprofit organization that promotes snowmobiling as a safe family sport and works to preserve public land access.,2026-06-24T05:14:09.683Z,true
3da22f61f18b,Used Kayak/Raft/SUP and Gear Swap,"Anchorage, AK",other,info@alpenglowidaho.com,208-331-2628,https://www.facebook.com/alpenglowidaho/,https://www.alpenglowidaho.com/,"Boise's premiere paddlesports shop specializing in whitewater kayaking, rafting, and SUP equipment.",2026-06-24T05:14:33.284Z,true
55917fdd4b10,Spokane Ski Swap,"Spokane, WA",ski,info@skipatrolskiswap.com,(509) 535-0102,https://www.facebook.com/mtspokaneskipatrol,https://skipatrolskiswap.com,A nonprofit foundation supporting the all-volunteer Mt. Spokane Ski Patrol through fundraising initiatives including the annual ski swap.,2026-06-24T05:14:44.794Z,true
09dca9f7cf91,Ski & Boat Swap,"Seattle, WA",ski,info@m2soutfitters.com,(206) 935-7669,https://www.facebook.com/m2soutfitters/,https://www.m2soutfitters.com,"Mountain to Sound Outfitters is a locally owned West Seattle outdoor gear shop specializing in kayaks, SUPs, skis, and snowboards since 2009.",2026-06-24T05:14:56.421Z,true
5c6405992b48,West Pioneer Swap Meet,"Puyallup, WA",other,office@puyallupumc.org,253-845-0547,https://www.facebook.com/PuyallupUMC/,https://www.puyallupumc.org,"Puyallup United Methodist Church is an inclusive and affirming Christian community in Puyallup, Washington.",2026-06-24T05:15:03.516Z,true
a8004e906e54,Sharing Wheels Community Bike Shop Events,"Everett, WA",bike,info@sharingwheels.org,(425) 252-6952,https://www.facebook.com/sharingwheelsbikes/,https://sharingwheels.org,Sharing Wheels is a nonprofit community bike shop in Everett that sells refurbished bikes and hosts annual kids bike swaps.,2026-06-24T05:15:12.249Z,true
8d6a83fc596d,Stay Warm and Dry Clothing Swap,"Shoreline, WA",gear,info@seattlereconomy.org,(206) 524-6062,https://www.facebook.com/SeattleREconomy,seattlereconomy.org,"Seattle REconomy promotes reuse and sharing through tool libraries, classes, and a reuse store.",2026-06-24T05:15:20.104Z,true
4d7de4f03fa0,Clothing Swap,"Seattle, WA",gear,,,,,Marissa Green is an individual organizer hosting a free community clothing swap at Made Space Seattle.,2026-06-24T05:15:35.059Z,false
609d6884241c,Spring Gear Swap and Community Cookout - Trout Unlimited,Washington,other,,,https://www.facebook.com/WACouncilTroutUnlimited/,https://www.washingtontu.org/,Nonprofit organization dedicated to conserving and restoring coldwater fisheries and watersheds in Washington state.,2026-06-24T05:15:46.349Z,true
f8c5841cff72,Gear Swap & Fundraiser for Trout Unlimited,Washington,other,Info@DruBru.com,425-434-0700,https://www.facebook.com/DrubruLLC/,https://www.drubru.com,Dru Bru is a mountain brewery in Washington with locations in Snoqualmie Pass and Cle Elum that hosts community events and fundraisers.,2026-06-24T05:16:02.275Z,true
